Id,Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies,Scientific Name,Author,Rank,Listing,Party,Listed under,Full note,# Full note,All_DistributionFullNames,All_DistributionISOCodes,NativeDistributionFullNames,Introduced_Distribution,Introduced(?)_Distribution,Reintroduced_Distribution,Extinct_Distribution,Extinct(?)_Distribution,Distribution_Uncertain
6155,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,parilis,,Acropora parilis,"(Quelch, 1886)",SPECIES,II,"",Scleractinia spp.,**II** [ORDER listing Scleractinia spp.] Excludes fossils.,"","Fiji,French Polynesia,Indonesia,Japan,Madagascar,New Caledonia,Papua New Guinea,Philippines,Solomon Islands,Tonga,Vanuatu,Viet Nam","FJ,PF,ID,JP,MG,NC,PG,PH,SB,TO,VU,VN","French Polynesia,Indonesia,Japan,Madagascar,New Caledonia,Papua New Guinea,Philippines,Solomon Islands,Vanuatu,Viet Nam",,,,,,"Fiji,Tonga"
6209,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,pharaonis,,Acropora pharaonis,"(Milne Edwards & Haime, 1860)",SPECIES,II,"",Scleractinia spp.,**II** [ORDER listing Scleractinia spp.] Excludes fossils.,"","Cocos (Keeling) Islands,Djibouti,Egypt,Fiji,India,Indonesia,Israel,Jordan,Madagascar,Maldives,Mauritius,New Caledonia,Oman,Réunion,Saudi Arabia,Seychelles,Singapore,Sudan,United Arab Emirates,Vanuatu,Yemen","CC,DJ,EG,FJ,IN,ID,IL,JO,MG,MV,MU,NC,OM,RE,SA,SC,SG,SD,AE,VU,YE","Djibouti,Egypt,Fiji,India,Indonesia,Israel,Jordan,Madagascar,Maldives,Mauritius,New Caledonia,Oman,Réunion,Saudi Arabia,Seychelles,Singapore,Sudan,United Arab Emirates,Vanuatu,Yemen",,,,,,Cocos (Keeling) Islands
4661,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,pichoni,,Acropora pichoni,"Wallace, 1999",SPECIES,II,"",Scleractinia spp.,**II** [ORDER listing Scleractinia spp.] Excludes fossils.,"","Indonesia,Japan,Micronesia (Federated States of),Papua New Guinea,Solomon Islands","ID,JP,FM,PG,SB","Indonesia,Japan,Micronesia (Federated States of),Papua New Guinea,Solomon Islands",,,,,,
7330,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,pinguis,,Acropora pinguis,"Wells, 1950",SPECIES,II,"",Scleractinia spp.,**II** [ORDER listing Scleractinia spp.] Excludes fossils.,"","Indonesia,Madagascar,Malaysia,Mauritius,Seychelles,Solomon Islands","ID,MG,MY,MU,SC,SB","Indonesia,Madagascar,Malaysia,Mauritius,Seychelles,Solomon Islands",,,,,,
3990,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,plana,,Acropora plana,"Nemenzo, 1967",SPECIES,II,"",Scleractinia spp.,**II** [ORDER listing Scleractinia spp.] Excludes fossils.,"","Fiji,Indonesia,New Caledonia,Papua New Guinea,Philippines,Solomon Islands,Viet Nam","FJ,ID,NC,PG,PH,SB,VN","Fiji,Indonesia,New Caledonia,Papua New Guinea,Philippines,Solomon Islands,Viet Nam",,,,,,
7038,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,plumosa,,Acropora plumosa,"Wallace & Wolstenholme, 1998",SPECIES,II,"",Scleractinia spp.,**II** [ORDER listing Scleractinia spp.] Excludes fossils.,"","Indonesia,Malaysia,Papua New Guinea,Philippines,Solomon Islands","ID,MY,PG,PH,SB","Indonesia,Papua New Guinea,Philippines,Solomon Islands",,,,,,Malaysia
9215,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,pocilloporina,,Acropora pocilloporina,"Wallace, 1994",SPECIES,II,"",Scleractinia spp.,**II** [ORDER listing Scleractinia spp.] Excludes fossils.,"","Cook Islands,French Polynesia,Niue,Pitcairn Islands (United Kingdom)","CK,PF,NU,PN","Cook Islands,French Polynesia,Niue,Pitcairn Islands (United Kingdom)",,,,,,
8531,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,polystoma,,Acropora polystoma,"(Brook, 1891)",SPECIES,II,"",Scleractinia spp.,**II** [ORDER listing Scleractinia spp.] Excludes fossils.,"","American Samoa,Australia,Fiji,Indonesia,Japan,Kiribati,Madagascar,Marshall Islands,Mauritius,Mozambique,New Caledonia,Niue,Papua New Guinea,Réunion,Samoa,Saudi Arabia,Singapore,Solomon Islands,Thailand,Tonga,United States Minor Outlying Islands,Vanuatu,Viet Nam,Yemen","AS,AU,FJ,ID,JP,KI,MG,MH,MU,MZ,NC,NU,PG,RE,WS,SA,SG,SB,TH,TO,UM,VU,VN,YE","American Samoa,Australia,Fiji,Indonesia,Japan,Kiribati,Madagascar,Marshall Islands,Mauritius,Mozambique,New Caledonia,Niue,Papua New Guinea,Réunion,Samoa,Saudi Arabia,Singapore,Solomon Islands,Thailand,Tonga,United States Minor Outlying Islands,Vanuatu,Viet Nam,Yemen",,,,,,
8542,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,prostrata,,Acropora prostrata,"(Dana, 1846)",SPECIES,II,"",Scleractinia spp.,**II** [ORDER listing Scleractinia spp.] Excludes fossils.,"","Australia,Fiji,Indonesia,Madagascar,Malaysia,Marshall Islands,Papua New Guinea,Philippines,Singapore,Solomon Islands,Sri Lanka,Tonga,Vanuatu,Viet Nam","AU,FJ,ID,MG,MY,MH,PG,PH,SG,SB,LK,TO,VU,VN","Australia,Fiji,Indonesia,Madagascar,Malaysia,Marshall Islands,Papua New Guinea,Philippines,Singapore,Solomon Islands,Sri Lanka,Vanuatu,Viet Nam",,,,,,Tonga
8926,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,pulchra,,Acropora pulchra,"(Brook, 1891)",SPECIES,II,"",Scleractinia spp.,**II** [ORDER listing Scleractinia spp.] Excludes fossils.,"","American Samoa,Australia,Cocos (Keeling) Islands,Cook Islands,Fiji,French Polynesia,Guam,Indonesia,Japan,Madagascar,Malaysia,Maldives,Marshall Islands,Mauritius,Micronesia (Federated States of),Mozambique,New Caledonia,Papua New Guinea,Philippines,Réunion,Samoa,Seychelles,Singapore,Solomon Islands,Taiwan, Province of China,Thailand,Tonga,Vanuatu,Viet Nam","AS,AU,CC,CK,FJ,PF,GU,ID,JP,MG,MY,MV,MH,MU,FM,MZ,NC,PG,PH,RE,WS,SC,SG,SB,TW,TH,TO,VU,VN","American Samoa,Australia,Cocos (Keeling) Islands,Cook Islands,Fiji,French Polynesia,Guam,Indonesia,Japan,Madagascar,Malaysia,Maldives,Marshall Islands,Mauritius,Micronesia (Federated States of),Mozambique,New Caledonia,Papua New Guinea,Philippines,Réunion,Samoa,Seychelles,Singapore,Solomon Islands,Taiwan, Province of China,Thailand,Tonga,Vanuatu,Viet Nam",,,,,,
7901,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,rambleri,,Acropora rambleri,"(Bassett-Smith, 1890)",SPECIES,II,"",Scleractinia spp.,**II** [ORDER listing Scleractinia spp.] Excludes fossils.,"","American Samoa,Fiji,French Polynesia,Guam,India,Indonesia,Japan,Marshall Islands,Mozambique,Palau,Papua New Guinea,Philippines,Solomon Islands,Vanuatu,Viet Nam","AS,FJ,PF,GU,IN,ID,JP,MH,MZ,PW,PG,PH,SB,VU,VN","American Samoa,Fiji,French Polynesia,Guam,India,Indonesia,Japan,Marshall Islands,Mozambique,Palau,Papua New Guinea,Philippines,Solomon Islands,Vanuatu,Viet Nam",,,,,,
8206,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,retusa,,Acropora retusa,"(Dana, 1846)",SPECIES,II,"",Scleractinia spp.,**II** [ORDER listing Scleractinia spp.] Excludes fossils.,"","American Samoa,Cook Islands,Fiji,French Polynesia,Indonesia,Madagascar,Malaysia,Mauritius,Mozambique,New Caledonia,Niue,Pitcairn Islands (United Kingdom),Samoa,Seychelles,Solomon Islands,Tonga,Viet Nam","AS,CK,FJ,PF,ID,MG,MY,MU,MZ,NC,NU,PN,WS,SC,SB,TO,VN","American Samoa,Cook Islands,Fiji,French Polynesia,Indonesia,Madagascar,Malaysia,Mauritius,Mozambique,New Caledonia,Niue,Pitcairn Islands (United Kingdom),Samoa,Seychelles,Solomon Islands,Viet Nam",,,,,,Tonga
8110,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,robusta,,Acropora robusta,"(Dana, 1846)",SPECIES,II,"",Scleractinia spp.,**II** [ORDER listing Scleractinia spp.] Excludes fossils.,"","American Samoa,Australia,Christmas Island,Cocos (Keeling) Islands,Cook Islands,Djibouti,Fiji,French Polynesia,Guam,India,Indonesia,Israel,Japan,Kiribati,Madagascar,Malaysia,Maldives,Marshall Islands,Micronesia (Federated States of),Mozambique,New Caledonia,Niue,Palau,Papua New Guinea,Philippines,Pitcairn Islands (United Kingdom),Réunion,Samoa,Seychelles,Singapore,Solomon Islands,Taiwan, Province of China,Thailand,Tonga,United Republic of Tanzania,Vanuatu,Viet Nam,Yemen","AS,AU,CX,CC,CK,DJ,FJ,PF,GU,IN,ID,IL,JP,KI,MG,MY,MV,MH,FM,MZ,NC,NU,PW,PG,PH,PN,RE,WS,SC,SG,SB,TW,TH,TO,TZ,VU,VN,YE","American Samoa,Australia,Christmas Island,Cocos (Keeling) Islands,Cook Islands,Djibouti,Fiji,French Polynesia,Guam,India,Indonesia,Israel,Japan,Kiribati,Madagascar,Malaysia,Maldives,Marshall Islands,Micronesia (Federated States of),Mozambique,New Caledonia,Niue,Palau,Papua New Guinea,Philippines,Pitcairn Islands (United Kingdom),Réunion,Samoa,Seychelles,Singapore,Solomon Islands,Taiwan, Province of China,Thailand,Tonga,United Republic of Tanzania,Vanuatu,Viet Nam,Yemen",,,,,,
8347,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,rongelapensis,,Acropora rongelapensis,"Richards & Wallace, 2004",SPECIES,II,"",Scleractinia spp.,**II** [ORDER listing Scleractinia spp.] Excludes fossils.,"",Marshall Islands,MH,Marshall Islands,,,,,,
6281,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,rosaria,,Acropora rosaria,"(Dana, 1846)",SPECIES,II,"",Scleractinia spp.,**II** [ORDER listing Scleractinia spp.] Excludes fossils.,"","Australia,Fiji,Indonesia,Japan,Madagascar,Malaysia,Marshall Islands,Micronesia (Federated States of),New Caledonia,Palau,Papua New Guinea,Philippines,Seychelles,Solomon Islands,Tonga,United Republic of Tanzania,Vanuatu,Viet Nam","AU,FJ,ID,JP,MG,MY,MH,FM,NC,PW,PG,PH,SC,SB,TO,TZ,VU,VN","Australia,Fiji,Indonesia,Japan,Madagascar,Malaysia,Marshall Islands,Micronesia (Federated States of),New Caledonia,Palau,Papua New Guinea,Philippines,Seychelles,Solomon Islands,Tonga,United Republic of Tanzania,Vanuatu,Viet Nam",,,,,,
8981,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,russelli,,Acropora russelli,"Wallace, 1994",SPECIES,II,"",Scleractinia spp.,**II** [ORDER listing Scleractinia spp.] Excludes fossils.,"","Australia,Indonesia,Malaysia","AU,ID,MY","Australia,Indonesia,Malaysia",,,,,,
8962,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,samoensis,,Acropora samoensis,"(Brook, 1891)",SPECIES,II,"",Scleractinia spp.,**II** [ORDER listing Scleractinia spp.] Excludes fossils.,"","American Samoa,Australia,British Indian Ocean Territory (United Kingdom),Comoros,Cook Islands,Djibouti,Egypt,Fiji,French Polynesia,Guam,Indonesia,Israel,Japan,Madagascar,Malaysia,Maldives,Marshall Islands,Mauritius,Micronesia (Federated States of),New Caledonia,Palau,Papua New Guinea,Philippines,Pitcairn Islands (United Kingdom),Samoa,Saudi Arabia,Seychelles,Singapore,Solomon Islands,Sudan,Taiwan, Province of China,Thailand,Tonga,United States Minor Outlying Islands,Vanuatu,Viet Nam","AS,AU,IO,KM,CK,DJ,EG,FJ,PF,GU,ID,IL,JP,MG,MY,MV,MH,MU,FM,NC,PW,PG,PH,PN,WS,SA,SC,SG,SB,SD,TW,TH,TO,UM,VU,VN","American Samoa,Australia,British Indian Ocean Territory (United Kingdom),Comoros,Cook Islands,Djibouti,Egypt,Fiji,French Polynesia,Guam,Indonesia,Israel,Japan,Madagascar,Malaysia,Maldives,Marshall Islands,Mauritius,Micronesia (Federated States of),New Caledonia,Palau,Papua New Guinea,Philippines,Pitcairn Islands (United Kingdom),Samoa,Saudi Arabia,Seychelles,Singapore,Solomon Islands,Sudan,Taiwan, Province of China,Thailand,Tonga,United States Minor Outlying Islands,Vanuatu,Viet Nam",,,,,,
4522,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,sarmentosa,,Acropora sarmentosa,"(Brook, 1892)",SPECIES,II,"",Scleractinia spp.,**II** [ORDER listing Scleractinia spp.] Excludes fossils.,"","Australia,Cook Islands,Djibouti,Fiji,French Polynesia,Indonesia,Japan,New Caledonia,Palau,Papua New Guinea,Philippines,Samoa,Solomon Islands,Taiwan, Province of China,Tonga,Vanuatu,Viet Nam","AU,CK,DJ,FJ,PF,ID,JP,NC,PW,PG,PH,WS,SB,TW,TO,VU,VN","Australia,Cook Islands,Djibouti,Fiji,French Polynesia,Indonesia,Japan,New Caledonia,Palau,Papua New Guinea,Philippines,Samoa,Solomon Islands,Taiwan, Province of China,Tonga,Vanuatu,Viet Nam",,,,,,
10204,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,schmitti,,Acropora schmitti,"Wells, 1950",SPECIES,II,"",Scleractinia spp.,**II** [ORDER listing Scleractinia spp.] Excludes fossils.,"","American Samoa,Cocos (Keeling) Islands,French Polynesia,Guam,Thailand","AS,CC,PF,GU,TH","American Samoa,Cocos (Keeling) Islands,French Polynesia,Guam,Thailand",,,,,,
8487,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,secale,,Acropora secale,"(Studer, 1878)",SPECIES,II,"",Scleractinia spp.,**II** [ORDER listing Scleractinia spp.] Excludes fossils.,"","American Samoa,Australia,British Indian Ocean Territory (United Kingdom),Cook Islands,Djibouti,Fiji,French Polynesia,Guam,India,Indonesia,Japan,Kenya,Kiribati,Madagascar,Malaysia,Maldives,Marshall Islands,Mauritius,Micronesia (Federated States of),Mozambique,New Caledonia,Niue,Papua New Guinea,Philippines,Pitcairn Islands (United Kingdom),Samoa,Saudi Arabia,Seychelles,Singapore,Solomon Islands,Sri Lanka,Taiwan, Province of China,Thailand,Tonga,United Republic of Tanzania,Vanuatu,Viet Nam,Yemen","AS,AU,IO,CK,DJ,FJ,PF,GU,IN,ID,JP,KE,KI,MG,MY,MV,MH,MU,FM,MZ,NC,NU,PG,PH,PN,WS,SA,SC,SG,SB,LK,TW,TH,TO,TZ,VU,VN,YE","American Samoa,Australia,British Indian Ocean Territory (United Kingdom),Cook Islands,Djibouti,Fiji,French Polynesia,Guam,India,Indonesia,Japan,Kenya,Kiribati,Madagascar,Malaysia,Maldives,Marshall Islands,Mauritius,Micronesia (Federated States of),Mozambique,New Caledonia,Niue,Papua New Guinea,Philippines,Pitcairn Islands (United Kingdom),Samoa,Saudi Arabia,Seychelles,Singapore,Solomon Islands,Sri Lanka,Taiwan, Province of China,Thailand,Tonga,United Republic of Tanzania,Vanuatu,Viet Nam,Yemen",,,,,,
